path,name,ext,size_bytes,size_human,modified,sha256,read_error,coverage_score,patent_like,hit::OWA (One-Way Accounts),hit::RPT (Reconciliation Pass Token),hit::BAS Lodgment / Labels,hit::PAYGW,hit::GST,hit::ATO Rails / IDs,hit::Banking Rails,hit::Data Integrity,hit::Reconciliation & Anomalies,hit::Security,hit::ATO Integration,hit::Alternatives (No-OWA),hit::Evidence Bundle,hit::Claims & Patent Structure,has::OWA (One-Way Accounts),has::RPT (Reconciliation Pass Token),has::BAS Lodgment / Labels,has::PAYGW,has::GST,has::ATO Rails / IDs,has::Banking Rails,has::Data Integrity,has::Reconciliation & Anomalies,has::Security,has::ATO Integration,has::Alternatives (No-OWA),has::Evidence Bundle,has::Claims & Patent Structure
C:\Users\matth\OneDrive\Desktop\apgms-final\.dockerignore,.dockerignore,,158,158.0B,2025-10-04T15:54:49.975451,ac5e8f7673e5d2c804961fe3dd852432551129728e5bfffb4261dcd51a0c0f4b,False,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\matth\OneDrive\Desktop\apgms-final\.editorconfig,.editorconfig,,157,157.0B,2025-10-03T05:18:39.047171,cc523afd2778420b491659efdf470771c76c65b28f6ce54e2ab0f81252fd1d99,False,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\matth\OneDrive\Desktop\apgms-final\.env,.env,,256,256.0B,2025-10-03T05:18:39.078749,688c748516616ae5dcdeb8ef18eb7dbfce164ab0e2ae130bf408c6a1afb97dce,False,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\matth\OneDrive\Desktop\apgms-final\.env.example,.env.example,.example,256,256.0B,2025-10-03T05:18:39.078749,688c748516616ae5dcdeb8ef18eb7dbfce164ab0e2ae130bf408c6a1afb97dce,False,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\matth\OneDrive\Desktop\apgms-final\.env.sample,.env.sample,.sample,0,0.0B,2025-06-02T15:42:33.012904,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\matth\OneDrive\Desktop\apgms-final\.envrc,.envrc,,45,45.0B,2025-10-03T05:18:39.084533,bf84c18ccf010a87934de5ec5d2e9fb69866a26f86cc115811863fd1e3540eb3,False,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\matth\OneDrive\Desktop\apgms-final\.gitattributes,.gitattributes,,21,21.0B,2025-10-03T05:18:39.055395,5109d1a65aaf2e809dab82b58646b62b7ac22f2e5fa976d8ccf8ad733ddd7bb2,False,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\matth\OneDrive\Desktop\apgms-final\.gitignore,.gitignore,,198,198.0B,2025-10-03T05:18:39.071492,e8efff4fcc0f946622f47f7dcdc9a041b4b56ec2267f9f75197528c2371a6cc2,False,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\matth\OneDrive\Desktop\apgms-final\apgms_diagnostics.txt,apgms_diagnostics.txt,.txt,450641,440.1KB,2025-10-03T06:54:08.609050,03e219567b6763630872cf3c9df50d9485578953990f136a087e9502cd75ffdb,False,28.6,False,0,1,0,1,6,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,1
C:\Users\matth\OneDrive\Desktop\apgms-final\apgms_scan.ps1,apgms_scan.ps1,.ps1,12676,12.4KB,2025-10-05T03:06:51.661141,1115277d231db4a6dc575c5756393df567a308ed70dca41330c32585ce40298d,False,0.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
